Year,Month,State,Location,Activity,Species,Provoked,InjuryLevel,HeadInjury,ArmInjury,LegInjury,TorsoInjury
2010,11,WA,island,fishing,white shark,0,0,0,0,0,0
2010,10,WA,island,snorkeling,white shark,0,2,0,0,1,1
2010,10,WA,beach,diving,other,0,0,1,0,0,0
2010,10,WA,island,surfing,other,0,2,0,0,1,0
2010,10,NSW,other,surfing,bull shark,0,2,0,0,1,0
2010,9,NSW,reef,surfing,other,0,3,0,0,1,0
2010,8,WA,bay,surfing,white shark,0,4,0,0,0,0
2010,8,QLD,other,fishing,other,1,2,0,0,1,0
2010,8,NSW,other,surfing,other,0,2,0,0,1,0
2010,6,WA,beach,surfing,other,0,3,0,0,1,0
2010,5,NSW,other,surfing,other,0,2,0,0,1,0
2010,2,QLD,island,snorkeling,other,0,2,0,0,1,0
2010,2,NSW,beach,surfing,wobbegong shark,0,2,0,0,1,0
2010,2,NSW,beach,boarding,white shark,0,0,0,0,0,0
2010,1,QLD,beach,surfing,other,0,0,0,0,0,0
2010,1,VIC,other,surfing,other,0,2,0,1,0,0
2010,1,QLD,island,snorkeling,other,0,2,0,0,1,0
2009,12,NSW,beach,swimming,other,1,2,0,0,1,0
2009,12,QLD,island,boating,other,0,0,0,0,0,0
2009,12,QLD,reef,diving,bull shark,0,2,1,1,0,0
2009,12,NSW,other,surfing,other,0,2,0,0,0,0
2009,12,NSW,beach,boating,white shark,0,0,0,0,0,0
2009,11,SA,other,boating,other,0,2,0,0,1,0
2009,10,VIC,port,boating,white shark,0,0,0,0,0,0
2009,10,NSW,other,boarding,other,0,0,1,0,0,0
2009,10,WA,other,diving,bull shark,0,3,0,0,1,0
2009,7,NSW,other,surfing,other,0,3,1,1,0,0
2009,6,NSW,beach,surfing,other,0,2,0,1,0,0
2009,4,NSW,bay,surfing,other,0,0,0,0,0,0
2009,3,NSW,bay,surfing,bronze whaler shark,0,3,0,0,1,0
2009,3,NSW,other,surfing,other,0,0,0,0,0,0
2009,3,NSW,bay,surfing,other,0,0,0,0,0,0
2009,3,WA,island,other,wobbegong shark,1,2,0,0,0,0
2009,3,NSW,other,surfing,other,0,2,0,0,1,0
2009,2,QLD,reef,fishing,other,0,3,0,1,0,0
2009,2,NSW,beach,surfing,other,0,0,0,0,0,0
2009,2,NSW,beach,surfing,white shark,0,3,0,1,0,0
2009,2,NSW,other,surfing,bull shark,0,3,0,1,1,0
2009,2,NSW,beach,surfing,white shark,0,0,0,0,0,0
2009,2,NSW,other,surfing,other,0,0,0,0,0,0
2009,1,NSW,beach,swimming,other,0,0,0,1,0,0
2009,1,VIC,other,fishing,white shark,0,0,0,0,0,0
2009,1,NSW,other,snorkeling,other,0,3,0,0,1,0
2009,1,TAS,bay,surfing,white shark,0,3,0,0,1,0
2009,1,NSW,beach,surfing,white shark,0,3,0,0,0,0
2008,12,TAS,island,boating,other,0,0,0,0,0,0
2008,12,NSW,other,boarding,other,0,0,0,0,0,0
2008,12,NSW,reef,boating,white shark,0,0,0,0,0,0
2008,12,WA,beach,snorkeling,white shark,0,4,0,0,0,0
2008,12,NSW,other,fishing,white shark,0,2,0,0,0,0
2008,11,SA,other,fishing,bronze whaler shark,0,0,0,0,0,0
2008,10,NSW,other,diving,other,1,2,1,0,0,0
2008,10,NT,other,fishing,other,1,0,0,0,1,0
2008,10,NSW,other,surfing,other,0,0,0,0,0,0
2008,9,NT,island,swimming,bronze whaler shark,1,2,0,1,0,0
2008,9,NSW,beach,surfing,other,0,0,0,0,0,0
2008,8,NSW,beach,surfing,other,0,0,0,0,0,0
2008,7,VIC,beach,surfing,white shark,0,0,0,0,0,0
2008,5,WA,other,swimming,white shark,0,3,0,0,1,0
2008,4,NSW,other,other,tiger shark,0,0,0,0,0,0
2008,4,NSW,beach,boarding,bull shark,0,4,0,0,0,0
2008,2,NSW,bay,surfing,other,0,1,0,1,0,0
2008,1,QLD,other,other,other,1,2,0,0,1,0
2007,12,NSW,beach,surfing,other,0,3,0,0,1,0
2007,12,QLD,island,swimming,other,0,2,0,1,0,0
2007,11,WA,other,fishing,other,1,1,0,1,0,0
2007,11,NSW,beach,surfing,other,0,0,0,0,0,0
